CLIENTE,FORECAST_INICIO_MES,FORECAST_REGRA_COMERCIAL,FORECAST_DELTA_RECEITA
BCO BRASIL,140,140.0,27156.420000000002
BRB,7,7.0,2299.14
C AERONAUTICA,95,78.0,178945.74
C MARINHA,2,2.0,2818.8900000000003
C O N A B,11,11.0,1865.71
CDP,11,11.0,6169.08
CEF,27,27.0,5512.64
CEMIG GERTRAN,4,4.0,6798.110000000001
CODEVASF,1,1.0,0.0
DATAPREV,2,2.0,11483.45
DEF PUB UNIAO,1,1.0,910.38
ECT,10,10.0,1304.69
HOSP CLINICAS,11,11.0,0.0
M PUB UNIAO,1,1.0,496.63
MAPA DF,1,1.0,0.0
MDCOMUNICACOES,25,25.0,42018.659999999996
MIN JUSTICA,1,1.0,888.44
MIN PUB ES,35,35.0,27996.72
PCRJ,4,4.0,1286.88
PGJ TO,22,22.0,48336.869999999995
PMSP SMG PROD,18,18.0,7465.2
PROSANGUE SP,1,1.0,1560.0
RS DEFENSORIA,1,1.0,646.0
SABESP,1,1.0,16658.07
SEBRAE AM,1,1.0,735.75
SEDHMIS,1,1.0,946.15
SEEDUC RJ,1,1.0,4567.0
SEFA PARA,20,20.0,15492.61
SERPRO,2,2.0,3450.19
SSP MS,17,17.0,21675.25
T S E,4,4.0,14947.15
VLX 28072112,1,0.0,13377.42
